p_value: 6.032877399188343e-07, z_value: 4.858218538840552
p_value: 2.8469498052091963e-06, z_value: 4.540072571354785

p_value: 0.20125191189100178, z_value: 0.8660254037844386
p_value: 0.08841384576503464, z_value: 1.3608970630898323
p_value: 0.28476438948909477, z_value: 0.574376771639563
p_value: 0.33943299540119276, z_value: 0.4176748970043913
p_value: 0.42403743943276884, z_value: 0.19419963600014686

p_value: 0.33250277105101456, z_value: 0.46188021535170054
p_value: 0.26470745932887463, z_value: 0.6392092266028
p_value: 0.27716969452546536, z_value: 0.5969013509195459
p_value: 0.5568109902661003, z_value: -0.13922496566813045
p_value: 0.8665192540844578, z_value: -1.1074627890819186

p_value: 0.48848512766098784, z_value: 0.05773502691896257
p_value: 0.23842501092180934, z_value: 0.7216878364870323
p_value: 0.29633918808868165, z_value: 0.5405899027195887
p_value: 0.38612181792098604, z_value: 0.2931051908802746
p_value: 0.43640765572831675, z_value: 0.16270780313525818

p_value: 0.020202059794111847, z_value: 2.0784609690826525
p_value: 0.0002193388208558194, z_value: 3.525960572550929
p_value: 1.994951720021662e-06, z_value: 4.617538752396487
p_value: 1.5411060753677126e-07, z_value: 5.122013210632799
p_value: 2.3645187962213034e-08, z_value: 5.463833002058186

p_value: 0.4199299862700017, z_value: 0.23094010767585027
p_value: 0.2258399547779812, z_value: 0.7629271414291483
p_value: 0.5781214724833433, z_value: -0.19145892387985436
p_value: 0.5997898631010203, z_value: -0.2491394122482334
p_value: 0.8131715386434192, z_value: -0.8870199590276978

p_value: 0.23524321102939483, z_value: 0.7505553499465134
p_value: 0.19042390907758466, z_value: 0.8866450562554967
p_value: 0.29633918808868165, z_value: 0.5405899027195887
p_value: 0.5452139396715562, z_value: -0.10991444658010298
p_value: 0.7398744060230416, z_value: -0.6403339349194032

p_value: 0.009686659665796444, z_value: 2.367136103677465
p_value: 0.001443408708569945, z_value: 2.989849608303419
p_value: 0.0012475923921293581, z_value: 3.0295559131576955
p_value: 0.0011367703083028015, z_value: 3.0556216149268627
p_value: 0.0022039900912517725, z_value: 2.8500108742724257

p_value: 0.01519141098828875, z_value: 2.1939310229205775
p_value: 0.0012606261795401644, z_value: 3.031088913245535
p_value: 0.0029469195353620473, z_value: 2.759260961797901
p_value: 0.0018772885492059333, z_value: 2.9017413897147186
p_value: 0.0002903387354957183, z_value: 3.4431070598944955

p_value: 0.01311469391742851, z_value: 2.25166604983954
p_value: 0.0022898343864722575, z_value: 2.8455120410060126
p_value: 0.0016740567955002188, z_value: 2.939457596037764
p_value: 0.0006078973044002033, z_value: 3.2388123592270346
p_value: 0.004241790706586485, z_value: 2.6348166830290194

p_value: 0.15616071083810806, z_value: 1.0392304845413263
p_value: 0.10610913022854718, z_value: 1.257798800734542
p_value: 0.28476438948909477, z_value: 0.574376771639563
p_value: 0.38332143490569737, z_value: 0.3004328206522815
p_value: 0.4137852607081107, z_value: 0.22044283005422077

p_value: 0.03448216666952704, z_value: 1.8475208614068022
p_value: 0.003789796015791305, z_value: 2.680554821237548
p_value: 0.0006513513618120937, z_value: 3.2210148370375498
p_value: 8.920501821989234e-06, z_value: 4.293991046396023
p_value: 1.2668142418931086e-06, z_value: 4.708029013300858

p_value: 0.3118024421978445, z_value: 0.5196152422706631
p_value: 0.1688262678846491, z_value: 0.969123666139729
p_value: 0.3081250781951553, z_value: 0.5068030337996144
p_value: 0.4115760288773467, z_value: 0.22715652293221283
p_value: 0.3854111524966914, z_value: 0.2939237734056277

p_value: 0.0030494729656071833, z_value: 2.7712812921102032
p_value: 1.6274340640073745e-05, z_value: 4.165169799153729
p_value: 9.230536363982285e-07, z_value: 4.775210807356367
p_value: 3.074907852412115e-07, z_value: 4.990115874736675
p_value: 3.7713559709692647e-07, z_value: 4.949466398598338

p_value: 0.0005530890920403621, z_value: 3.2908965343808667
p_value: 9.404558681240407e-06, z_value: 4.288887713980078
p_value: 5.553420788980745e-07, z_value: 4.876571414116291
p_value: 4.508242574441874e-08, z_value: 5.349169733565011
p_value: 5.213259365794964e-09, z_value: 5.726264942598925

p_value: 0.11829204666093807, z_value: 1.212435565298214
p_value: 0.037244347789869424, z_value: 1.7939097649820515
p_value: 0.07391986767091888, z_value: 1.4528353635588949
p_value: 0.029589265317854746, z_value: 1.8905284811777712
p_value: 0.18124285105646798, z_value: 0.9132631530817718

p_value: 0.01519141098828875, z_value: 2.1939310229205775
p_value: 0.0009570144827489661, z_value: 3.1135675231297677
p_value: 0.00013455588866305836, z_value: 3.648981843357224
p_value: 8.077880544406178e-06, z_value: 4.3159739357120435
p_value: 5.485769798992746e-07, z_value: 4.875985455246931

p_value: 0.0003657409959071128, z_value: 3.4063665882187917
p_value: 1.2289539605664436e-06, z_value: 4.721900415872296
p_value: 1.5524582615750417e-08, z_value: 5.541046502875785
p_value: 2.5257895794366233e-10, z_value: 6.221157676433829
p_value: 3.60589911325633e-11, z_value: 6.518809403031957

p_value: 0.21786533001586827, z_value: 0.808290376865476
p_value: 0.24485870437968643, z_value: 0.7010681840159741
p_value: 0.3160947779364087, z_value: 0.4842784545196316
p_value: 0.32085670973964797, z_value: 0.46896830540843937
p_value: 0.4446899384865943, z_value: 0.14171324789199907

p_value: 0.09696542614120535, z_value: 1.3279056191361391
p_value: 0.010749879119785548, z_value: 2.309401076758503
p_value: 0.005201006048869479, z_value: 2.567802037918047
p_value: 0.0011367703083028015, z_value: 3.0556216149268627
p_value: 0.0005530890920403594, z_value: 3.264653340326793

p_value: 0.37541594204455847, z_value: 0.3464101615137754
p_value: 0.42234942432820904, z_value: 0.20619652471058064
p_value: 0.34050929402478525, z_value: 0.416704716679683
p_value: 0.20486798671143414, z_value: 0.8280221642367758
p_value: 0.37342665608124026, z_value: 0.32541560627051636

p_value: 0.01128803126156679, z_value: 2.309401076758503
p_value: 0.0022898343864722575, z_value: 2.8455120410060126
p_value: 0.0004934765880055144, z_value: 3.2998508645174898
p_value: 3.8547396095914784e-05, z_value: 3.956920076883707
p_value: 1.1262146150492468e-05, z_value: 4.240900159138342

p_value: 0.2533602574389292, z_value: 0.6928203230275508
p_value: 0.1305550809063979, z_value: 1.1340808859081934
p_value: 0.173505907319341, z_value: 0.9460323297592803
p_value: 0.12125078509630532, z_value: 1.1724207635210984
p_value: 0.24834762143450845, z_value: 0.6823230454059214

p_value: 0.1703893067814773, z_value: 0.9814954576223637
p_value: 0.23208499717989745, z_value: 0.7423074889580903
p_value: 0.173505907319341, z_value: 0.9460323297592803
p_value: 0.07188949587602486, z_value: 1.465525954401373
p_value: 0.12901036058107673, z_value: 1.1337059831359926

p_value: 0.20125191189100178, z_value: 0.8660254037844386
p_value: 0.055018921841986514, z_value: 1.6083328927425289
p_value: 0.11300594187172713, z_value: 1.2163272811190748
p_value: 0.0632797590821072, z_value: 1.5314746223494349
p_value: 0.195404145438909, z_value: 0.8607767649736239

p_value: 0.0036299774940952876, z_value: 2.713546265191241
p_value: 5.078624800856527e-05, z_value: 3.897114317029974
p_value: 1.924457465241962e-05, z_value: 4.121998008236864
p_value: 2.8198350403440768e-06, z_value: 4.5431304586442565
p_value: 2.216924124211028e-06, z_value: 4.592558959462933

p_value: 0.2721850729283049, z_value: 0.6350852961085883
p_value: 0.05735136519127942, z_value: 1.5877132402714709
p_value: 0.018346898591510438, z_value: 2.0947858730384064
p_value: 0.0017498173930056164, z_value: 2.9237242790307394
p_value: 0.009686659665796425, z_value: 2.340892909623392

